Model,Units,Input_len,Pred_len,MSE,MAE,Parameters,Avg_Epoch_Time_s
CFC,32,30,5,1.0833070278167725,0.831873893737793,21029,0.46560492515563967
LSTM,32,30,5,1.0782990455627441,0.8308812975883484,4645,0.056473922729492185
GRU,32,30,5,1.0778201818466187,0.83066326379776,3525,0.16469984054565429
