Model,Units,Missing_rate,Test_MSE,Parameters,Avg_epoch_time_s
CFC,32,0.15,0.0007165968634690311,21025,11.575204038619995
LSTM,32,0.15,0.0016282164622296116,4641,1.2102377891540528
