Model,Units,Input_dim,Output_dim,Test_MSE,Parameters,Avg_epoch_time_s
LTC,64,17,17,0.08772981911897659,26180,5.392592716217041
LSTM,64,17,17,0.02036341093480587,22353,0.19527678489685057
